링크아이디,시점노드,시점노드명,종점노드,종점노드명,도로등급,도로명,연장(M),링크권역
(LINK_ID),(F_NODE),(NODE_NAME),(T_NODE),(NODE_NAME),(ROAD_RANK),(ROAD_NAME),(len),(organ)
1040038600,1040004800,관음사,1040026500,청우빌,104,긴고랑로46길,108.853615,서울특별시
1040038700,1040026500,청우빌,1040004800,관음사,104,긴고랑로46길,107.7087117,서울특별시
1040038800,1040025700,군자교앞,1040026800,군자교,102,동부간선도로,245.9925365,서울특별시
1040038900,1040004800,관음사,1040026900,베스필,104,긴고랑로,264.7495686,서울특별시
1040039000,1040026900,베스필,1040004800,관음사,104,긴고랑로,259.0197162,서울특별시
1040039100,1040027000,우인아트홀,1040027400,코브인터내셔날앞,102,동부간선도로,312.2102671,서울특별시
1040039200,1040027500,광제사약국,1040027100,동성교회,104,능동로49길,245.5689537,서울특별시
1040039300,1040027100,동성교회,1040027500,광제사약국,104,능동로49길,245.6342823,서울특별시
1040039400,1040027600,중원주유소,1040027500,광제사약국,104,동일로72길,309.3223168,서울특별시
1040039500,1040027500,광제사약국,1040027600,중원주유소,104,동일로72길,309.3144378,서울특별시
1040039600,1040027800,용곡삼거리,1040027700,용곡삼거리,104,용마산로,44.73595182,서울특별시
1040039900,1040005900,잠실대교북측,1040028800,잠실대교북측,102,강변북로,48.40815528,서울특별시
1040040000,1040006800,잠실대교북측,1040029000,잠실대교북측,102,강변북로,44.11053501,서울특별시
1040040100,1040007000,청담대교,1040006700,청담대교북측,102,동부간선도로,83.83745707,서울특별시
1040040200,1040028600,청담대교,1040007000,청담대교,102,강변북로,364.0541197,서울특별시
1040040300,1040028600,청담대교,1040007700,청담대교,102,강변북로,95.01252517,서울특별시
1040040400,1040028500,뚝섬한강공원벽천마당,1040028600,청담대교,102,강변북로,134.1726303,서울특별시
1040040500,1040028300,영동대교북단고가차도,1040028400,비츠로,103,동일로,231.1713508,서울특별시
1040040600,1040029500,광장동413-39,1040017501,광장동449-2,104,아차산로69길,115.1058571,서울특별시
1040040700,1040017501,광장동449-2,1040029500,광장동413-39,104,아차산로69길,111.3660279,서울특별시
1040040800,1040029200,선화예술고등학교,1040023001,아차산역(서울5호선),104,천호대로,246.5651762,서울특별시
1040040900,1040023001,아차산역(서울5호선),1040029200,선화예술고등학교,104,천호대로,265.9598191,서울특별시
1040041000,1040029300,화양동428-2,1040019701,능동465-10,104,광나루로,151.1108998,서울특별시
1040041100,1040019701,능동465-10,1040029300,화양동428-2,104,광나루로,151.2722244,서울특별시
1040041200,1040029400,세종사이버대학교,1040022101,세종초등학교,104,군자로15길,90.75262719,서울특별시
1040041300,1040022101,세종초등학교,1040029400,세종사이버대학교,104,군자로15길,97.74151157,서울특별시
1040041400,1040029600,양진초등학교,1040017901,광장동577-1,104,천호대로140길,153.2411851,서울특별시
1040041500,1040017901,광장동577-1,1040029600,양진초등학교,104,천호대로140길,149.2565042,서울특별시
1040041600,1040029700,광장동561-15,1040016001,광남고등학교,104,아차산로70길,177.5597942,서울특별시
